score,task,channel,ch_idx,n,r,p,p_fdr,sig_raw,sig_fdr
STAIT,VF,S6_D6,16,16,0.0752772652709081,0.7817213858312266,0.95825544502058,False,False
STAIT,VF,S7_D4,17,16,0.29372893703746494,0.2695094478879454,0.95825544502058,False,False
STAIT,VF,S7_D6,18,16,0.14317440649564875,0.5968191733177075,0.95825544502058,False,False
STAIT,VF,S7_D7,19,16,0.11660595992944588,0.6671513757905798,0.95825544502058,False,False
STAIT,VF,S8_D5,20,16,0.17121887787108508,0.52606168078568,0.95825544502058,False,False
STAIT,VF,S8_D7,21,16,-0.04280471946777127,0.8749288845840077,0.95825544502058,False,False
STAIT,VF,S8_D8,22,16,-0.04723279389547175,0.8621002725508475,0.95825544502058,False,False
STAIT,SS,S1_D1,0,16,-0.14169838168641524,0.6006468820156903,0.9723378822163565,False,False
STAIT,SS,S1_D3,1,16,-0.06199304198780667,0.8195874925059918,0.9723378822163565,False,False
STAIT,SS,S2_D2,2,16,-0.1697428530618516,0.529688225629521,0.9723378822163565,False,False
STAIT,SS,S2_D1,3,16,-0.11070186069251192,0.6831662611967427,0.9723378822163565,False,False
STAIT,SS,S2_D5,4,16,-0.038376645040070795,0.8877867620236298,0.9723378822163565,False,False
STAIT,SS,S3_D1,5,16,0.005904099236933968,0.9826867441464717,0.9826867441464717,False,False
STAIT,SS,S3_D3,6,16,-0.07084919084320762,0.7942966981289434,0.9723378822163565,False,False
STAIT,SS,S3_D4,7,16,0.2730645897081961,0.30617873922689215,0.9723378822163565,False,False
STAIT,SS,S3_D6,8,16,0.1284141584033138,0.6355280680807457,0.9723378822163565,False,False
STAIT,SS,S4_D4,9,16,0.05756496756010619,0.8322972629120134,0.9723378822163565,False,False
STAIT,SS,S4_D5,10,16,-0.11365391031097889,0.6751424880884956,0.9723378822163565,False,False
STAIT,SS,S4_D7,11,16,0.1313662080217808,0.6277110834640669,0.9723378822163565,False,False
STAIT,SS,S5_D2,12,16,-0.28044471375436353,0.29276112070719496,0.9723378822163565,False,False
